  2.8788  -0.3191   2.9642  -0.2577
  3.2577  -1.1010   3.2776  -0.9966
  3.3497  -1.0417   3.2076  -1.0251
  5.0488   0.9314   5.1038   0.9026
  5.1038   0.9026   5.1332   0.8764
  5.1332   0.8764   5.1704   0.7874
  5.1704   0.7874   5.3330   0.7025
  5.3330   0.7025   5.4376   0.5928
  5.4376   0.5928   5.5542   0.5274
  5.5542   0.5274   5.6904   0.5015
  5.5542   0.5274   5.5759   0.6088
  5.5759   0.6088   5.5622   0.6638
  5.5622   0.6638   5.5737   0.6874
  5.5737   0.6874   5.6460   0.7956
  5.6460   0.7956   5.7020   0.8604
  5.4168   0.7901   5.3330   0.7025
  5.3330   0.7025   5.2198   0.6123
  5.2198   0.6123   5.1948   0.5742
  5.1948   0.5742   5.1081   0.4878
  5.3809   0.1972   5.3998   0.2545
  5.3998   0.2545   5.4256   0.2630
  5.4256   0.2630   5.4395   0.2813
  5.4395   0.2813   5.4089   0.2775
  5.4089   0.2775   5.3998   0.2545
  1.1172  -0.8986   1.1956  -0.9605
  1.1956  -0.9605   1.3330  -1.0030
  1.3330  -1.0030   1.4558  -1.0905
  1.4558  -1.0905   1.5043  -1.1473
  1.4558  -1.0905   1.5451  -1.1010
  4.5909   0.9631   4.5834   0.9128
  4.5834   0.9128   4.6976   0.8986
  4.6976   0.8986   4.6842   0.9925
  4.6842   0.9925   4.5909   0.9631
  4.6842   0.9925   5.0289   1.1807
  5.0289   1.1807   5.1844   1.2264
  5.1844   1.2264   4.8042   1.2691
  4.8042   1.2691   4.4888   1.1467
  4.4888   1.1467   4.2934   1.0734
  4.2934   1.0734   4.1969   1.0219
  4.1969   1.0219   4.0358   1.0289
  4.0358   1.0289   3.6842   1.1234
  3.6842   1.1234   3.2876   1.2179
  3.2876   1.2179   3.0168   1.2098
  5.5609   0.1745   5.5977   0.1187
  5.5977   0.1187   5.5667   0.0913
  5.5667   0.0913   5.5429   0.1766
  1.3488  -0.1527   1.3432  -0.0887
  1.3432  -0.0887   1.2780  -0.0951
  1.2780  -0.0951   1.2457  -0.0567
  1.2457  -0.0567   1.2056  -0.0585
  1.2056  -0.0585   1.0990  -0.1193
  1.0990  -0.1193   1.0386  -0.2356
  1.0386  -0.2356   0.9867  -0.2112
  0.9867  -0.2112   0.9740  -0.1702
  0.9740  -0.1702   0.9291  -0.1649
  0.9291  -0.1649   0.7698  -0.1550
  0.7698  -0.1550   0.7204  -0.3240
  0.7204  -0.3240   0.7461  -0.3665
  0.7461  -0.3665   0.7959  -0.4122
  0.7959  -0.4122   0.8705  -0.3796
