#
# Andromeda
#
# Chamaeleon
#
Cha Theta,Cha Gamma
Cha Gamma,Cha Epsilon
Cha Epsilon,Cha Beta
Cha Beta,Cha Delta1
Cha Delta1,Cha Gamma
Cha Gamma,Cha Alpha
#
# Circinus
#
Cir Gamma,Cir Alpha
Cir Alpha,Cir Beta
#
# Columba
#
Col Epsilon,Phakt
Phakt,Col Beta
Col Beta,Col Gamma
Col Gamma,Col Kappa
Col Kappa,Col Delta
Col Beta,Col Eta
Col Gamma,Col Eta
Col Gamma,Col Delta
#
# Coma Berenices
#
Com Alpha-42,Com Beta-43
Com Beta-43,Com Gamma-15
Com Beta-43,Com 14
Com Beta-43,Com 16
Com Beta-43,Com 17
#
# Corona Australis
#
CrA Epsilon,CrA Gamma
CrA Gamma,Alkes
Alkes,CrA Beta
CrA Beta,CrA Delta
CrA Delta,CrA Zeta
CrA Zeta,CrA Eta2
CrA Eta2,CrA Eta1
#
# Corona Borealis
#
CrB Theta-4,CrB Beta-3
CrB Beta-3,Alphecca
Alphecca,CrB Gamma-8
CrB Gamma-8,CrB Delta-10
CrB Delta-10,CrB Epsilo-13
CrB Epsilo-13,CrB Iota-14
#
# Corvus
#
#   Missing star for foot
Crv Alpha-1,Crv Epsilon-2
Crv Epsilon-2,Crv Gamma-4
Crv Gamma-4,Crv Delta-7
Crv Delta-7,Crv Eta-8
Crv Delta-7,Crv Beta-9
Crv Beta-9,Crv Epsilon-2
#
# Crater
#
Crt Theta-21,Crt Eta-30
Crt Eta-30,Crt Zeta-27
Crt Zeta-27,Crt Lambda-13
Crt Lambda-13,Crt Delta-12
Crt Delta-12,Crt Kappa-16
Crt Kappa-16,Crt Theta-21
Crt Lambda-13,Crt Beta-11
Crt Beta-11,Crt Alpha-7
Crt Alpha-7,Crt Delta-12
#
# Crux
#
Acrux,Cru Gamma
Mimosa,Cru Delta
#
# Cygnus
#
#   Northern Cross
Cyg Chi,Albireo
Cyg Eta-21,Cyg Chi
