Lep Delta-15,Lep Gamma-13
Lep Gamma-13,Lep Beta-9
Lep Beta-9,Lep Beta-9
Lep Beta-9,Lep Epsilon-2
Lib 48,Lib Theta-46
Lib Theta-46,Lib Eta-44
Lib Eta-44,Lib Zeta4-35
Lib Zeta4-35,Zuben el Chamali
Zuben el Chamali,Lib Alpha2-9
Lib Alpha2-9,Lib Sigma-20
Lib Sigma-20,Lib Upsilo-39
Lib Upsilo-39,Lib Tau-40
Lib Sigma-20,Zuben el Chamali
Lup Theta,Lup Eta
Lup Eta,Lup Gamma
Lup Gamma,Lup Epsilon
Lup Epsilon,Lup Kappa1
Lup Kappa1,Lup Zeta
Lup Zeta,Lup Alpha
Lup Alpha,Lup Beta
Lup Beta,Lup Delta
Lup Delta,Lup Phi1
Lup Phi1,Lup Chi-5
Lup Gamma,Lup Delta
Lyn Alpha-40,Lyn 38
Lyn 38,Lyn 35
Lyn 35,Lyn 31
Lyn 31,Lyn 21
Lyn 21,Lyn 15
Lyn 15,Lyn 2
Lyr 13,Lyr Eta-20
Lyr Eta-20,Lyr Theta-21
Lyr Theta-21,Vega
Vega,Lyr Epsilo1-4
Vega,Lyr Zeta1-6
Lyr Zeta1-6,Sheliak
Sheliak,Sulaphat
Sulaphat,Lyr Delta1-11
Lyr Delta1-11,Lyr Zeta1-6
Vega,Lyr Kappa-1
Men Alpha,Men Gamma
Men Gamma,Men Eta
Men Eta,Men Beta
Mic Theta2,Mic Epsilon
Mic Epsilon,Mic Gamma
Mic Gamma,Mic Beta
Mon Zeta-29,Mon Alpha-26
Mon Alpha-26,Mon 21
Mon 21,Mon Beta-11
Mon Beta-11,Mon Gamma-5
Mon Gamma-5,Mon Epsilon-8
Mon Epsilon-8,Mon 13
Mus Delta,Mus Alpha
Mus Alpha,Mus Gamma
Mus Beta,Mus Alpha
Mus Alpha,Mus Zeta1
Mus Zeta1,Mus Mu
Nor Epsilon,Nor Gamma1
Nor Gamma1,Nor Gamma2
Nor Gamma2,Nor Eta
Oct Delta,Oct Nu
Oct Nu,Oct Epsilon
Oct Epsilon,Oct Beta
Oct Beta,Oct Delta
Oph 44,Oph Eta-35
Oph Eta-35,Oph Zeta-13
Oph Zeta-13,Oph Phi-8
Oph Zeta-13,Oph Epsilon-2
Oph Epsilon-2,Oph Epsilon-2
Oph Epsilon-2,Oph Lambda-10
Oph Lambda-10,Oph Kappa-27
Oph Kappa-27,Oph Iota-25
Oph Kappa-27,Ras Alhague
Ras Alhague,Oph 72
Oph 72,Oph 70
Oph 70,Oph Nu-64
Oph 70,Oph 67
Oph 67,Oph Gamma-62
Oph Gamma-62,Kelb al Rai
Kelb al Rai,Oph Sigma-49
Ori Chi2-62,Ori Xi-70
Ori Xi-70,Ori Mu-61
Ori Mu-61,Betelgeuse
Betelgeuse,Ori Sigma-48
Ori Sigma-48,Ori Kappa-53
Ori Kappa-53,Rigel
Rigel,Ori Delta-34
Ori Delta-34,Bellatrix
Bellatrix,Ori Lambda-39
Ori Lambda-39,Betelgeuse
Bellatrix,Ori Pi3-1
Ori Pi3-1,Ori Pi4-3
Ori Pi4-3,Ori Pi5-8
Ori Pi5-8,Ori Pi6-10
Ori Pi3-1,Ori Pi2-2
Ori Pi2-2,Ori Pi1-7
Pav Alpha,Pav Beta
Pav Beta,Pav Beta
Pav Beta,Pav Epsilon
Pav Epsilon,Pav Zeta
Pav Zeta,Pav Eta
Pav Eta,Pav Pi
Pav Pi,Pav Xi
Pav Xi,Pav Lambda
Pav Lambda,Pav Delta
Pav Delta,Pav Beta
Pav Beta,Pav Gamma
Eniph,Peg Theta-26
Peg Theta-26,Homam
Homam,Peg Xi-46
Peg Xi-46,Markab
Markab,Algenib
Algenib,Alpheratz
Alpheratz,Peg Beta-53
Peg Beta-53,Markab
Peg Kappa-10,Peg Iota-24
Peg Iota-24,Peg Eta-44
Peg Eta-44,Peg Beta-53
Peg Beta-53,Peg Mu-48
Peg Mu-48,Peg Lambda-47
Peg Lambda-47,Peg 9
Per Lambda-47,Per Mu-51
Per Mu-51,Per 48
Per 48,Per Delta-39
Per Delta-39,Per Psi-37
Per Psi-37,Mirfak
Mirfak,Per Gamma-23
Per Gamma-23,Per Eta-15
Per Delta-39,Per Nu-41
Per Nu-41,Per Epsilo-45
Per Epsilo-45,Per Xi-46
Per Xi-46,Per Zeta-44
Per Zeta-44,Per Omicro-38
Mirfak,Per Iota
Per Iota,Per Theta-13
Per Iota,Per Kappa-27
Per Kappa-27,Algol
Algol,Per Rho-25
Per Rho-25,Per Pi-22
Phe Delta,Phe Gamma
Phe Gamma,Phe Nu
Phe Nu,Phe Beta
Phe Beta,Phe Kappa
Phe Kappa,Phe Epsilon
Phe Epsilon,Phe Iota
Phe Iota,Phe Theta
Phe Theta,Phe Pi
Phe Beta,Phe Zeta
Phe Zeta,Phe Eta
Phe Eta,Phe Epsilon
Pic Alpha,Pic Gamma
Pic Gamma,Pic Beta
Psc Tau-83,Psc Upsilo-90
Psc Upsilo-90,Psc Phi-85
Psc Phi-85,Psc Eta-99
Psc Eta-99,Psc Omicr-110
Psc Omicr-110,Kaitain
Kaitain,Psc Nu-106
Psc Nu-106,Psc Mu-98
Psc Mu-98,Psc Epsilo-71
Psc Epsilo-71,Psc Delta-63
Psc Delta-63,Psc Omega-28
Psc Omega-28,Psc Iota-17
Psc Iota-17,Psc Theta-10
Psc Theta-10,Psc Gamma-6
Psc Gamma-6,Psc Kappa-8
Psc Kappa-8,Psc Lambda-18
Psc Lambda-18,Psc Iota-17
Fomalhaut,PsA Epsilo-18
PsA Epsilo-18,PsA Lambda-16
PsA Lambda-16,PsA Theta-10
PsA Theta-10,PsA Iota-9
PsA Iota-9,PsA Upsilon
PsA Upsilon,PsA Beta-17
PsA Beta-17,PsA Delta-23
PsA Delta-23,PsA Delta-23
PsA Delta-23,Fomalhaut
Pup 16,Pup 12
Pup 12,Pup Omicron
Pup Omicron,Pup 3
Pup 3,Pup 1
Pup 1,CMa Eta-31
CMa Eta-31,Pup Pi
Pup Pi,Pup Nu
Pup Nu,Pup Tau
Pup Tau,Pup Sigma
Pup Sigma,Pup Sigma
Pup Sigma,Pup Zeta
Pup Zeta,Pup Rho-15
Pup Rho-15,Pup 12
Pyx Beta,Pyx Alpha
Pyx Alpha,Pyx Gamma
Ret Beta,Ret Theta
Ret Theta,Ret Epsilon
Ret Epsilon,Ret Iota
Ret Iota,Ret Gamma
Ret Gamma,Ret Beta
Sge Eta-16,Sge Gamma-12
Sge Gamma-12,Sge Delta-7
Sge Delta-7,Sge Beta-6
Sge Delta-7,Sge Alpha-5
Sgr Beta1,Sgr Iota
Sgr Iota,Sgr Alpha
Sgr Iota,Sgr Theta1
Sgr Theta1,Sgr Theta1
Sgr Theta1,Sgr 62
Sgr 62,Sgr 59
Sgr 59,Sgr 51
Sgr 51,Sgr Psi-42
Sgr Psi-42,Sgr Zeta-38
Sgr Zeta-38,Sgr Zeta-38
Sgr Zeta-38,Sgr Phi-27
Sgr Phi-27,Sgr Sigma-34
Sgr Sigma-34,Sgr Zeta-38
Sgr Sigma-34,Sgr Omicro-39
Sgr Omicro-39,Sgr Pi-41
Sgr Pi-41,Sgr Rho2-45
Sgr Rho2-45,Sgr Rho2-45
Sgr Omicro-39,Sgr Xi2-37
Sgr Phi-27,Sgr Lambda-22
Sgr Lambda-22,Sgr Mu-13
Sgr Lambda-22,Sgr 18
Sgr 18,Kaus Australis
Kaus Australis,Sgr Eta
Sgr 18,Sgr Gamma2-10
Sgr Gamma2-10,Sgr 3
Sco Omega1-9,Sco Omega1-9
Sco Omega1-9,Sco Nu-14
Sco Nu-14,Sco Xi
Sco Xi,Sco Omega1-9
Sco Omega1-9,Sco Delta-7
Sco Delta-7,Sco Pi-6
Sco Pi-6,Sco Rho-5
Sco Delta-7,Sco Sigma-20
Sco Sigma-20,Antares
Antares,Sco Tau-23
Sco Tau-23,Sco Epsilo-26
Sco Epsilo-26,Sco Epsilo-26
Sco Epsilo-26,Sco Epsilo-26
Sco Epsilo-26,Sco Epsilo-26
Sco Epsilo-26,Sco Mu1
Sco Mu1,Sco Zeta2
Sco Zeta2,Sco Eta
Sco Eta,Sco Theta
Sco Theta,Sco Iota1
Sco Iota1,Sco Kappa
Sco Kappa,Shaula
Sco Iota1,Sco Kappa
Scl Alpha,Scl Iota
Scl Iota,Scl Delta
Scl Delta,Scl Gamma
Scl Gamma,Scl Beta
Sct Beta,Sct Alpha
Sct Alpha,Sct Gamma
Sct Alpha,Sct Zeta
Ser 36,Ser Omega-34
Ser Omega-34,Ser Epsilo-37
Ser Epsilo-37,Unukalhay
Unukalhay,Ser Delta-13
Ser Delta-13,Ser Beta-28
Ser Beta-28,Ser Gamma-41
Ser Gamma-41,Ser Kappa-35
Ser Kappa-35,Ser Beta-28
Sex Delta-29,Sex Alpha-15
Sex Alpha-15,Sex Gamma-8
Alnath,Tau Tau-94
Tau Tau-94,Tau Epsilo-74
Tau Epsilo-74,Tau Delta3-68
Tau Delta3-68,Tau Delta1-61
Tau Delta1-61,Tau Gamma-54
Tau Gamma-54,Tau Theta2-78
Tau Theta2-78,Aldebaran
Aldebaran,Tau Zeta-123
Tau Gamma-54,Tau Lambda-35
Tau Lambda-35,Tau 5
Tau 5,Tau Xi-2
Tau Xi-2,Tau Omicron-1
Tau Lambda-35,Tau Mu-49
Tau Mu-49,Tau Nu-38
Tel Epsilon,Tel Alpha
Tel Alpha,Tel Zeta
Tri Alpha-2,Tri Epsilon-3
Tri Epsilon-3,Tri Beta-4
Tri Beta-4,Tri Gamma-9
Tri Gamma-9,Tri Alpha-2
TrA Alpha,TrA Beta
TrA Beta,TrA Epsilon
TrA Epsilon,TrA Gamma
TrA Gamma,TrA Alpha
Tuc Delta,Tuc Alpha
Tuc Alpha,Tuc Gamma
Tuc Gamma,Tuc Epsilon
Tuc Epsilon,Tuc Zeta
Tuc Zeta,Tuc Beta3
Tuc Beta3,Tuc Gamma
Benetnasch,Mizar
Mizar,Alioth
Alioth,Megrez
Megrez,Phecda
Phecda,Merak
Merak,Dubhe
Phecda,UMa Chi-63
UMa Chi-63,UMa Xi-53
UMa Chi-63,UMa Psi-52
UMa Psi-52,UMa Lambda-33
UMa Psi-52,UMa Mu-34
Dubhe,UMa 23
UMa 23,UMa Omicron-1
Merak,UMa Phi-30
UMa Phi-30,UMa Upsilo-29
UMa Phi-30,UMa Theta-25
UMa Theta-25,Talitha
Talitha,UMa Kappa-12
UMa Kappa-12,UMa Theta-25
Polaris,UMi Delta-23
UMi Delta-23,UMi Epsilo-22
UMi Epsilo-22,UMi Zeta-16
UMi Zeta-16,Kocab
Kocab,UMi Gamma-13
UMi Gamma-13,UMi Eta-21
UMi Eta-21,UMi Zeta-16
Vel Mu,Vel Mu
Vel Mu,Ant Eta
Ant Eta,Vel Psi
Vel Psi,Vel Lambda
Vel Lambda,Vel Lambda
Vel Lambda,Vel Lambda
Vel Lambda,Vel Gamma2
Vel Gamma2,Vel Delta
Vel Delta,Vel Kappa
Vel Kappa,Vel Phi
Vel Phi,Vel Mu
Vir Omicron-9,Vir Nu-3
Vir Nu-3,Zawijah
Zawijah,Vir Eta-15
Vir Eta-15,Vir Gamma-29
Vir Gamma-29,Vir Delta-43
Vir Delta-43,Vindemiatrix
Vir Delta-43,Vir Zeta-79
Vir Zeta-79,Spica
Spica,Vir Theta-51
Vir Theta-51,Vir Gamma-29
Vir Zeta-79,Vir Tau-93
Vir Tau-93,Vir 109
Spica,Vir Kappa-98
Vir Kappa-98,Vir Iota-99
Vir Iota-99,Vir Mu-107
Vol Alpha,Vol Beta
Vol Beta,Vol Epsilon
Vol Epsilon,Vol Delta
Vol Delta,Vol Gamma1
Vol Gamma1,Vol Zeta
Vol Zeta,Vol Epsilon
Vul 13,Vul Alpha-6
Vul Alpha-6,Vul 1
Ser Theta1-63,Ser Eta-58
Ser Eta-58,Ser Omicro-56
Ser Omicro-56,Ser Xi-55
Ser Xi-55,Ser Nu-53
